         y,     x_in,    y_in,          x_corr,           y_corr
14580, 10000, 14580, 10883.2, 15001.5
14590, 10000, 14590, 10882.8, 15011.3
14600, 10000, 14600, 10882.5, 15021
14610, 10000, 14610, 10882.1, 15030.8
14620, 10000, 14620, 10881.8, 15040.6
14630, 10000, 14630, 10881.4, 15050.3
14640, 10000, 14640, 10881.1, 15060.1
14650, 10000, 14650, 10880.7, 15069.9
14660, 10000, 14660, 10880.4, 15079.6
14670, 10000, 14670, 10880, 15089.4
14680, 10000, 14680, 10879.7, 15099.2
14690, 10000, 14690, 10879.3, 15108.9
14700, 10000, 14700, 10879, 15118.7
14710, 10000, 14710, 10878.6, 15128.5
14720, 10000, 14720, 10878.3, 15138.2
14730, 10000, 14730, 10877.9, 15148
14740, 10000, 14740, 10877.6, 15157.8
14750, 10000, 14750, 10877.2, 15167.6
14760, 10000, 14760, 10876.9, 15177.3
14770, 10000, 14770, 10876.5, 15187.1
14780, 10000, 14780, 10876.2, 15196.9
14790, 10000, 14790, 10875.8, 15206.6
14800, 10000, 14800, 10875.5, 15216.4
14810, 10000, 14810, 10875.1, 15226.2
14820, 10000, 14820, 10874.8, 15235.9
14830, 10000, 14830, 10874.4, 15245.7
14840, 10000, 14840, 10874.1, 15255.5
14850, 10000, 14850, 10873.7, 15265.2
14860, 10000, 14860, 10873.4, 15275
14870, 10000, 14870, 10873, 15284.8
14880, 10000, 14880, 10872.7, 15294.5
14890, 10000, 14890, 10872.3, 15304.3
14900, 10000, 14900, 10872, 15314.1
14910, 10000, 14910, 10871.6, 15323.8
14920, 10000, 14920, 10871.3, 15333.6
14930, 10000, 14930, 10870.9, 15343.4
14940, 10000, 14940, 10870.6, 15353.1
14950, 10000, 14950, 10870.2, 15362.9
14960, 10000, 14960, 10869.9, 15372.7
14970, 10000, 14970, 10869.5, 15382.5
14980, 10000, 14980, 10869.2, 15392.2
14990, 10000, 14990, 10868.8, 15402
15000, 10000, 15000, 10868.5, 15411.8
15010, 10000, 15010, 10868.1, 15421.5
15020, 10000, 15020, 10867.8, 15431.3
15030, 10000, 15030, 10867.4, 15441.1
15040, 10000, 15040, 10867.1, 15450.8
15050, 10000, 15050, 10866.7, 15460.6
15060, 10000, 15060, 10866.4, 15470.4
15070, 10000, 15070, 10866, 15480.1
15080, 10000, 15080, 10865.7, 15489.9
15090, 10000, 15090, 10865.3, 15499.7
15100, 10000, 15100, 10865, 15509.4
15110, 10000, 15110, 10864.6, 15519.2
15120, 10000, 15120, 10864.3, 15529
15130, 10000, 15130, 10863.9, 15538.7
15140, 10000, 15140, 10863.6, 15548.5
15150, 10000, 15150, 10863.2, 15558.3
15160, 10000, 15160, 10862.9, 15568.1
15170, 10000, 15170, 10862.5, 15577.8
15180, 10000, 15180, 10862.2, 15587.6
15190, 10000, 15190, 10861.8, 15597.4
15200, 10000, 15200, 10861.5, 15607.1
15210, 10000, 15210, 10861.1, 15616.9
15220, 10000, 15220, 10860.8, 15626.7
15230, 10000, 15230, 10860.4, 15636.4
15240, 10000, 15240, 10860.1, 15646.2
15250, 10000, 15250, 10859.7, 15656
15260, 10000, 15260, 10859.4, 15665.7
15270, 10000, 15270, 10859, 15675.5
15280, 10000, 15280, 10858.7, 15685.3
15290, 10000, 15290, 10858.3, 15695
15300, 10000, 15300, 10858, 15704.8
15310, 10000, 15310, 10857.6, 15714.6
15320, 10000, 15320, 10857.3, 15724.3
15330, 10000, 15330, 10857, 15734.1
15340, 10000, 15340, 10856.6, 15743.9
15350, 10000, 15350, 10856.3, 15753.6
15360, 10000, 15360, 10855.9, 15763.4
15370, 10000, 15370, 10855.6, 15773.2
15380, 10000, 15380, 10855.2, 15783
15390, 10000, 15390, 10854.9, 15792.7
15400, 10000, 15400, 10854.5, 15802.5
15410, 10000, 15410, 10854.2, 15812.3
15420, 10000, 15420, 10853.8, 15822
15430, 10000, 15430, 10853.5, 15831.8
15440, 10000, 15440, 10853.1, 15841.6
15450, 10000, 15450, 10852.8, 15851.3
15460, 10000, 15460, 10852.4, 15861.1
15470, 10000, 15470, 10852.1, 15870.9
15480, 10000, 15480, 10851.7, 15880.6
15490, 10000, 15490, 10851.4, 15890.4
15500, 10000, 15500, 10851, 15900.2
15510, 10000, 15510, 10850.7, 15909.9
15520, 10000, 15520, 10850.3, 15919.7
15530, 10000, 15530, 10850, 15929.5
15540, 10000, 15540, 10849.6, 15939.2
15550, 10000, 15550, 10849.3, 15949
15560, 10000, 15560, 10848.9, 15958.8
15570, 10000, 15570, 10848.6, 15968.5
15580, 10000, 15580, 10848.2, 15978.3
15590, 10000, 15590, 10847.9, 15988.1
15600, 10000, 15600, 10847.5, 15997.9
15610, 10000, 15610, 10847.2, 16007.6
15620, 10000, 15620, 10846.8, 16017.4
15630, 10000, 15630, 10846.5, 16027.2
15640, 10000, 15640, 10846.1, 16036.9
15650, 10000, 15650, 10845.8, 16046.7
15660, 10000, 15660, 10845.4, 16056.5
15670, 10000, 15670, 10845.1, 16066.2
15680, 10000, 15680, 10844.7, 16076
15690, 10000, 15690, 10844.4, 16085.8
15700, 10000, 15700, 10844, 16095.5
15710, 10000, 15710, 10843.7, 16105.3
15720, 10000, 15720, 10843.3, 16115.1
15730, 10000, 15730, 10843, 16124.8
15740, 10000, 15740, 10842.6, 16134.6
15750, 10000, 15750, 10842.3, 16144.4
15760, 10000, 15760, 10841.9, 16154.1
15770, 10000, 15770, 10841.6, 16163.9
15780, 10000, 15780, 10841.2, 16173.7
15790, 10000, 15790, 10840.9, 16183.4
15800, 10000, 15800, 10840.5, 16193.2
15810, 10000, 15810, 10840.2, 16203
15820, 10000, 15820, 10839.8, 16212.8
15830, 10000, 15830, 10839.5, 16222.5
15840, 10000, 15840, 10839.1, 16232.3
15850, 10000, 15850, 10838.8, 16242.1
